,TYPE,PROGRAM,ORG PHONE,DISTADD,DIS,DBIOSRTOZI,DAYS,HOURS
0,FP,"ABRAHAM HOUSE, INC",7182929321,340 WILLIS AVENUE,The Bronx,10454,SAT,6:30-7:30AM
1,FP,ABUNDANT GRACE FOR THE FORSAKEN FOOD PANTRY,3473504698,3101 EASTCHESTER ROAD,The Bronx,10469,SAT,9-11AM
2,SK,ACTS COMMUNITY DEVELOPMENT CORPORATION,7184151170,2114 MERMAID AVE,Brooklyn,11224,"WED,FRI",6:30-7:30PM
3,FP,ACTS COMMUNITY DEVELOPMENT CORPORATION,7184151170,2114 MERMAID AVE,Brooklyn,11224,TUE/THUR,6-7PM/11AM-12PM
4,FP,ADMIRABLE CHURCH INC,7186497531,1910 FLATBUSH AVENUE,Brooklyn,11210,SAT,10AM-12PM
5,SK,ADVENT LUTHERAN CHURCH,2126652504,2504 BROADWAY,New York,10025,SAT (4TH),12-1PM
6,FP,ADVENT LUTHERAN CHURCH,2126652504,2504 BROADWAY,New York,10025,SAT (1ST),10:30-11:30AM
7,FP,AFRICAN SERVICES COMMITTEE,2122223882,429 WEST 127TH STREET,New York,10027,MON-FRI,9AM-5PM
8,FP,AGAPE CHRISTIAN CENTER,9176044812,59-02 SUMMERFIELD ST. RIDGEWOOD,Queens,11385,SAT,12-1PM
9,FPHA,AIDS CENTER OF QUEENS COUNTY,7188962500,161-21 JAMAICA AVE - 6TH FLOOR,Queens,11432,"TUE,THUR",8:30-11AM
10,FPHA,AIDS CENTER OF QUEENS COUNTY,7184729400,62-07 WOODStaten IslandDE AVENUE - 3RD FLOOR,Queens,11377,"TUE, THUR",10AM-12PM
11,FPHA,AIDS CENTER OF QUEENS COUNTY (ACQC),7188688645,1600 CENTRAL AVENUE - 3RD FLOOR (FAR ROCKAWAY),Queens,11691,"WED,FRI",10AM-12PM
12,FP,ALL NATIONS BAPTIST CHURCH OF WOODHAVEN,7182962025,86-76 80TH STREET,Queens,11421,SAT,10-10:30AM
13,FP,"ALL PEOPLE'S CHURCH APOSTOLIC FAITH, INC",7187823703,182 TOMPKINS AVE,Brooklyn,11206,SAT,10-11:30AM
14,FP,ALLEN OUTREACH MINISTRY FEEDING PROGRAM,7185263510,111-54 MERRICK BLVD,Queens,11433,THUR,11AM-1PM
15,SK,ALLEN OUTREACH MINISTRY FEEDING PROGRAM,7185263510,111-54 MERRICK BLVD,Queens,11433,"MON,THUR",11AM-1PM
16,FP,AMMI EVANGELICAL BAPTIST CHURCH,7182827565,1799 FLATBUSH AVENUE,Brooklyn,11210,SAT,12:30-2PM
17,FP,ANOTHER CHOICE YOUTH AND FAMILY OUTREACH INC,2123696643,1765 MADISON AVE,New York,10029,FRI,10-11AM
18,SK,ANOTHER CHOICE YOUTH AND FAMILY OUTREACH INC,2123696643,1765 MADISON AVENUE,New York,10029,WED,12-1PM
19,FP,ANTIOCH OUTREACH MINISTRIES,2125345715,41 WEST 124TH STREET,New York,10027,SAT,7:30-11AM
20,FP,"ASCENStaten IslandON OUTREACH, INC",2122548620,12 WEST 11TH STREET,New York,10011,"SAT(2ND,4TH)",8:30-9:30AM
21,FP,ASTOR CHILD GUIDANCE CENTER,7182313400,750 TILDEN STREET,The Bronx,10467,THUR,2-2:30PM
22,FP,BAILEY HOUSE FOOD PANTRY,2126332500,1751 PARK AVENUE 3RD FLOOR,New York,10035,MON/WED,10AM-12PM/1-3:30PM
23,FP,BAY VIEW HOUSES REStaten IslandDENT ASSOCIATION,3472165909,2085 ROCKAWAY PARKWAY,Brooklyn,11236,THUR,10AM-2PM
24,FP,BEDFORD CENTRAL PRESBYTERIAN CHURCH,7184670740,1200 DEAN STREET,Brooklyn,11216,"THUR(1ST,2ND)",1-2:30PM
25,FPK,BENSONHURST COUNCIL OF JEWISH ORGANIZATIONS,7183331834,8635 21ST AVE,Brooklyn,11214,TUE,10AM-4PM
